team,book,decimal_odds
Iran,Pinnacle,501.0
Iran,Betfair Exchange,1000.0
Iran,Polymarket,666.67
Iran,Kalshi,2000.0
DR Congo,DraftKings,1001.0
DR Congo,FanDuel,2501.0
DR Congo,BetMGM,751.0
DR Congo,Caesars,1001.0
DR Congo,Pinnacle,601.0
DR Congo,Betfair Exchange,1000.0
DR Congo,Polymarket,666.67
DR Congo,Kalshi,200.0
Tunisia,DraftKings,501.0
Tunisia,FanDuel,1001.0
Tunisia,BetMGM,501.0
Tunisia,Caesars,751.0
Tunisia,Pinnacle,501.0
Tunisia,Betfair Exchange,1000.0
Tunisia,Polymarket,2000.0
Tunisia,Kalshi,2000.0
Saudi Arabia,DraftKings,1001.0
Saudi Arabia,FanDuel,2501.0
Saudi Arabia,BetMGM,1001.0
Saudi Arabia,Caesars,1001.0
Saudi Arabia,Pinnacle,1001.0
Saudi Arabia,Betfair Exchange,1000.0
Saudi Arabia,Polymarket,2000.0
Saudi Arabia,Kalshi,2000.0
South Africa,DraftKings,1001.0
South Africa,FanDuel,2501.0
South Africa,BetMGM,1001.0
South Africa,Caesars,1001.0
South Africa,Pinnacle,751.0
South Africa,Betfair Exchange,1000.0
South Africa,Polymarket,2000.0
South Africa,Kalshi,2000.0
Iraq,DraftKings,1501.0
Iraq,FanDuel,2501.0
Iraq,BetMGM,1001.0
Iraq,Caesars,2001.0
Iraq,Pinnacle,751.0
Iraq,Betfair Exchange,1000.0
Iraq,Polymarket,2000.0
Iraq,Kalshi,200.0
Panama,DraftKings,1001.0
Panama,FanDuel,2501.0
Panama,BetMGM,1001.0
Panama,Caesars,1501.0
Panama,Pinnacle,1501.0
Panama,Betfair Exchange,1000.0
Panama,Polymarket,2000.0
Panama,Kalshi,2000.0
Cape Verde,DraftKings,1001.0
Cape Verde,FanDuel,2501.0
Cape Verde,BetMGM,1001.0
Cape Verde,Caesars,2001.0
Cape Verde,Pinnacle,1501.0
Cape Verde,Betfair Exchange,1000.0
Cape Verde,Polymarket,2000.0
Cape Verde,Kalshi,2000.0
Qatar,DraftKings,1501.0
Qatar,FanDuel,2501.0
Qatar,BetMGM,1001.0
Qatar,Caesars,2001.0
Qatar,Pinnacle,1001.0
Qatar,Betfair Exchange,1000.0
Qatar,Polymarket,2000.0
Qatar,Kalshi,2000.0
New Zealand,DraftKings,1501.0
New Zealand,FanDuel,2501.0
New Zealand,BetMGM,1001.0
New Zealand,Caesars,2501.0
New Zealand,Pinnacle,1501.0
New Zealand,Betfair Exchange,1000.0
New Zealand,Polymarket,2000.0
New Zealand,Kalshi,2000.0
Uzbekistan,DraftKings,1501.0
Uzbekistan,FanDuel,2501.0
Uzbekistan,BetMGM,1001.0
Uzbekistan,Caesars,2001.0
Uzbekistan,Pinnacle,1501.0
Uzbekistan,Betfair Exchange,1000.0
Uzbekistan,Polymarket,2000.0
Uzbekistan,Kalshi,2000.0
Jordan,DraftKings,2501.0
Jordan,FanDuel,2501.0
Jordan,BetMGM,1001.0
Jordan,Caesars,2501.0
Jordan,Pinnacle,1501.0
Jordan,Betfair Exchange,1000.0
Jordan,Polymarket,2000.0
Jordan,Kalshi,2000.0
Haiti,DraftKings,2501.0
Haiti,FanDuel,2501.0
Haiti,BetMGM,2501.0
Haiti,Caesars,2501.0
Haiti,Pinnacle,1501.0
Haiti,Betfair Exchange,1000.0
Haiti,Polymarket,2000.0
Haiti,Kalshi,2000.0
Curaçao,DraftKings,2501.0
Curaçao,FanDuel,2501.0
Curaçao,BetMGM,2501.0
Curaçao,Caesars,2501.0
Curaçao,Pinnacle,1501.0
Curaçao,Betfair Exchange,1000.0
Curaçao,Polymarket,2000.0
Curaçao,Kalshi,2000.0
