date,home_team,away_team,elo_home_pre,elo_away_pre,home_score,away_score,tournament,neutral
1908-06-10,Hungary,England,1505.5745656820793,1759.3466303955813,0,7,Friendly,False
1908-06-13,Czechoslovakia,England,1480.4103304031555,1772.4913487993692,0,4,Friendly,False
1908-07-12,Sweden,Norway,1500.0,1500.0,11,3,Friendly,False
1908-08-15,Uruguay,Argentina,1454.9941348144064,1531.9986348393713,2,2,Copa Lipton,False
1908-09-13,Argentina,Uruguay,1532.989983222973,1454.0027864308047,2,1,Copa Newton,False
1908-10-04,Argentina,Uruguay,1540.8805689869826,1446.1122006667952,0,1,Copa Premio Honor Argentino,False
1908-10-22,France,Denmark,1470.9915496999874,1500.0,1,17,Olympic Games,True
1908-10-23,Netherlands,Sweden,1554.4148947238293,1517.096912509363,2,0,Olympic Games,True
1908-10-25,Netherlands,Sweden,1574.5074256181128,1497.0043816150794,5,3,Friendly,False
1908-10-26,Belgium,Sweden,1494.8074531172697,1489.064013309066,2,1,Friendly,False
1908-11-01,Hungary,Austria,1492.4298472782914,1490.7997478220293,5,3,Friendly,False
1909-02-13,England,Northern Ireland,1781.8165510720146,1294.2713504158646,4,0,British Home Championship,False
1909-03-01,Wales,Scotland,1357.9953202181453,1624.0803768839353,3,2,British Home Championship,False
1909-03-15,England,Wales,1783.6647564306013,1379.6653026468812,2,0,British Home Championship,False
1909-03-15,Scotland,Northern Ireland,1602.4103944551994,1292.423145057278,5,0,British Home Championship,False
1909-03-18,Guernsey,Jersey,1553.806773297115,1509.1850892441014,3,0,Muratti Vase,False
1909-03-20,Northern Ireland,Wales,1287.247054368085,1377.3211804405419,2,3,British Home Championship,False
1909-03-21,Belgium,Netherlands,1501.854531877063,1582.4477939241262,1,4,Friendly,False
1909-03-25,Guernsey,Alderney,1569.7202974704235,1437.0081374587837,2,0,Muratti Vase,True
1909-04-03,England,Scotland,1786.0088786369406,1607.5864851443923,2,0,British Home Championship,False
1909-04-04,Germany,Switzerland,1481.5025349099813,1491.4007609587472,1,0,Friendly,False
1909-04-04,Hungary,Germany,1503.1631285206333,1488.9658122819358,3,3,Friendly,False
1909-04-25,Netherlands,Belgium,1600.9242775210519,1483.3780482801374,4,1,Friendly,False
1909-05-02,Austria,Hungary,1480.0664665796874,1499.989729887648,3,4,Friendly,False
1909-05-09,Belgium,France,1475.5974498708874,1424.5835898557161,5,2,Friendly,False
1909-05-29,Hungary,England,1512.254561762654,1793.55090861075,2,4,Friendly,False
1909-05-30,Hungary,Austria,1504.4410309936313,1467.8016347046814,1,1,Friendly,False
1909-05-31,Hungary,England,1500.69918836501,1801.3644393797726,2,8,Friendly,False
1909-06-01,Austria,England,1471.5434773333027,1811.5455169194192,1,8,Friendly,False
1909-08-15,Argentina,Uruguay,1518.2543606228476,1468.7384090309301,2,1,Copa Lipton,False
1909-09-19,Uruguay,Argentina,1459.822509037228,1527.1702606165497,2,2,Copa Newton,False
1909-10-10,Argentina,Uruguay,1528.575835745203,1458.4169339085747,3,1,Copa Premio Honor Argentino,False
1909-11-07,Hungary,Austria,1490.5181108253635,1462.5093617063048,2,2,Friendly,False
1910-02-12,Northern Ireland,England,1271.8186364927717,1820.579632546417,1,1,British Home Championship,False
1910-03-05,Scotland,Wales,1600.044455170583,1392.749598315855,1,0,British Home Championship,False
1910-03-13,Belgium,Netherlands,1485.9364078995386,1608.704875930302,3,2,Friendly,False
1910-03-14,Wales,England,1388.3793401800938,1807.6863086984233,0,1,British Home Championship,False
1910-03-19,Northern Ireland,Scotland,1284.7119603407655,1604.4147133063443,1,0,British Home Championship,False
1910-04-02,Scotland,England,1581.0196343793036,1811.8046692195087,2,0,British Home Championship,False
1910-04-03,France,Belgium,1414.244631827065,1496.5908005791446,0,4,Friendly,False
1910-04-03,Switzerland,Germany,1483.9374835867927,1492.139210914921,2,3,Friendly,False
1910-04-07,Jersey,Alderney,1493.2715650707928,1422.7076446501799,7,1,Muratti Vase,False
1910-04-10,Netherlands,Belgium,1598.050483250696,1516.292702953305,7,0,Friendly,False
1910-04-11,Wales,Northern Ireland,1384.2609796590084,1308.1070392678062,4,1,British Home Championship,False
1910-04-21,Guernsey,Jersey,1584.0207902790273,1510.64508980769,2,3,Muratti Vase,False
1910-04-24,Netherlands,Germany,1609.7477706137984,1504.7215636807493,4,2,Friendly,False
1910-05-01,Austria,Hungary,1466.0356156055468,1486.9918569261215,2,1,Friendly,False
1910-05-15,Italy,France,1500.0,1394.5427294529045,6,2,Friendly,False
1910-05-16,Germany,Belgium,1497.6712152692737,1504.5954155902027,0,3,Friendly,False
1910-05-26,Hungary,Italy,1479.228463447339,1508.7962174188585,6,1,Friendly,False
1910-05-27,Argentina,Chile,1540.8603115386034,1500.0,3,1,Friendly,False
1910-05-29,Chile,Uruguay,1490.7687637274792,1446.1324581151744,0,3,Friendly,True
1910-06-05,Argentina,Chile,1550.0915478111242,1471.0327640265612,5,1,Friendly,False
1910-06-12,Argentina,Uruguay,1559.9517848381324,1465.8684578160924,4,1,Friendly,False
1910-08-15,Uruguay,Argentina,1457.240089370677,1568.5801532835478,3,1,Copa Lipton,False
1910-09-11,Norway,Sweden,1482.903087490637,1482.0169345492727,0,4,Friendly,False
1910-09-11,Chile,Argentina,1461.172526999553,1545.3460290867208,0,3,Friendly,False
1910-10-16,Germany,Netherlands,1475.5920984147347,1616.798119025274,1,2,Friendly,False
1910-10-16,Russia,Czechoslovakia,1500.0,1471.0851281305102,5,4,Friendly,False
1910-10-23,Russia,Czechoslovakia,1506.4509297738143,1464.6341983566958,1,0,Friendly,False
1910-11-06,Hungary,Austria,1495.2286987312436,1473.7990090843293,3,0,Friendly,False
1910-11-13,Argentina,Uruguay,1563.642643814762,1480.474213567504,1,1,Copa Premio Honor Argentino,False
1910-11-27,Argentina,Uruguay,1556.3940631909059,1487.7227941913602,2,6,Copa Premio Honor Argentino,False
1911-01-01,France,Hungary,1385.746512034046,1506.8498453980087,0,3,Friendly,False
1911-01-06,Italy,Hungary,1492.7959821349539,1523.2881958565665,0,1,Friendly,False
1911-01-08,Switzerland,Hungary,1471.3551308209644,1535.2625207829587,2,0,Friendly,False
